#
# ptag.dat -- for Cisco ATA 18X
#
# This file contains configuration parameter's tag descriptor
#   that is used by cfgfmt program to determine how to convert
#   a string representation of parameter value pair to its
#   corresponding TLV (Tag Length Value) binary representation.
#
# Each descriptor is on one line, of the following format:
#	tag,tagFmtBit,nameStr,size,context
# where
#   * tag is the integer value assigned to a parameter named nameStr.
#   * tagFmtBit is bitmap of value's format information. Available
#     format are limited to the following set for historical
#     compatibility:
#       0x0002 -- IP address format
#       0x0004 -- 32-bit integer format
#       0x0008 -- digits (0-9 and include dot)
#       0x0010 -- alphabetic characters
#       0x0020 -- boolean
#       0x0040 -- array of shorts (array of 2-bytes value)
#       0x0080 -- extended IP address (IP.PORT)
#       0x0100 -- tone frequency format (to be obsoleted)
#       0x0200 -- treated unsigned integer (hex format).
#       0x4000 -- if -g flag specify if cfgfmt, do not include
#                 those with this bit set in ata<mac> file.
#       0x8000 -- firmware version 3.0 format bit that if the profile
#           is larger than bigger than 2000 bytes, those TLV that has
#           this bit set will be put in separate extended profile.
#                
#   * nameStr refers to the parameter.
#   * size is the length of the value of the parameter.
#   * context -- which protocol this tag apply to:
#       0x1 -- H323
#       0x2 -- SIP
#       0x4 -- MGCP
#       0x8 -- SCCP
#
102,0x0080,SyslogIP,6,0xF	#availablity: v3.0
103,0x020C,SyslogCtrl,4,0xF	#availablity: v3.0
104,0x020C,PortsSetting,4,0xF	#availablity: v3.2
105,0x000C,L2KeepAlive,4,0xF	#availablity: v3.2
129,0x8010,DialPlanEx,500,0x3	#availablity: v3.0
130,0x8010,DisplayName0,32,0x2	#availablity: v3.0
131,0x8010,DisplayName1,32,0x2	#availablity: v3.0
132,0x8010,ACRDN,8,0x2		#availablity: v3.2
160,0x020C,FeatureTimer2,4,0x3	#availablity: v3.0
161,0x020C,MsgRetryLimits,4,0x2	#availablity: v3.0
162,0x020C,SessionTimer,4,0x2	#availablity: v3.0
163,0x000C,SessionInterval,4,0x2	#availablity: v3.0
164,0x000C,MinSessionInterval,4,0x2	#availablity: v3.0
170,0x000C,FXSInputLevel,4,0xF	#availablity: v3.0
171,0x000C,FXSOutputLevel,4,0xF	#availablity: v3.0
# any tag bigger than 255 is pseudo parameter
0x2001,0x020C,RegMode,4,0x8
